company,installed_units_per_year,actual_units_per_year,utilization_pct,brands,location
PAN Nigeria Ltd,25000,5000,20.0,"Higer Buses, Chery",Kaduna
Innoson Vehicle Manufacturing Co. Ltd,10000,7000,70.0,IVM,Nnewi
Dana Motors Ltd,27000,9000,33.3,"KIA, Dongfeng",Lagos
Koncept Autocentre Nig Ltd,6000,2000,33.3,"Isuzu, Chevrolet",Lagos
Iron Product Industries Ltd,4000,2250,56.3,Tata,Lagos
Nigeria Sino Trucks Ltd,5000,1000,20.0,Sinotruck,Ogun
Coscharis Motors Assembly Ltd,4000,2000,50.0,Ford,Lagos
Perfection Motors Co. Ltd,1000,700,70.0,FAW,Lagos
CFAO Motors Nigeria Ltd,5000,1500,30.0,"Mitsubishi, Fuso, Kinglong",Lagos
Stallion Nissan Nig. Ltd,16000,5000,31.3,"Nissan, Infinity, Datsun",Lagos
Stallion Motors Ltd,6000,3000,50.0,Volkswagen,Lagos
Hyundai Motors Nig Ltd,12000,6000,50.0,Hyundai,Lagos
VON Automobile Nig. Ltd,39000,7000,17.9,Ashok Leyland,Lagos
Zahav Automobile Nig. Ltd,6000,2000,33.3,"JINBEI, Foton, BIAC, Changan",Lagos
Honda Automobile Western Africa Ltd,2000,1000,50.0,Honda,Ogun
Tranquinea Ltd/Leventis Motors,5000,2000,40.0,"Foton, Eichel",Ibadan
De-Damak Nigeria Ltd,2400,1000,41.7,"T-King, BAW",Ibadan
Transit Support Services Ltd,3000,1000,33.3,Shacman,Enugu
National Truck Manufacturer Ltd,5000,2000,40.0,"Sino Trucks, Foton, GWM, DF, Kinglong",Kano
Elizade JAC Autoland Ltd,20000,5000,25.0,JAC,Lagos
Dangote Sinotruk West Africa Ltd,10000,5000,50.0,Sinotruck,Lagos
Kewalram Nigeria Ltd,3000,1000,33.3,"Foton, JMC",Lagos
Toyota Nigeria Ltd,20000,5000,25.0,"Toyota (Corolla, Yaris, Hilux, Hiace, Dyna)",Lagos
Tata Africa Services (Nigeria) Ltd,2000,1000,50.0,Tata,Lagos
CIG Motors Co. Ltd,5000,3000,60.0,GAC,Lagos
Kojo Motors Ltd,2000,1000,50.0,Yutong,Anambra
Globe Motors Nig. Ltd,6000,1000,16.7,"Higer, Hyundai",Lagos
Lanre Shittu Motors (Nig) Ltd,4000,2000,50.0,"JAC, Dandong Huanghai, Leopard",Lagos
Mikano International Ltd,46000,3000,6.5,"Dongfeng, Geely",Ogun
Jet Systems Automobiles Industries Ltd,5000,1000,20.0,Jet Brands,Lagos
Nord Automobiles Ltd,1750,1000,57.1,"Jiangsu Joylong, Baoneng",Lagos
Origin Automobiles Works Ltd,5000,1000,20.0,"Massey Ferguson, Shineray, BAIC, Origin",Lagos
Anammco Company Ltd,8500,2000,23.5,"Yutong, Dongfeng",Enugu
Cedric Masters Ltd,2000,1500,75.0,"Dongfeng, Toyota",Lagos
